商品ID,商品类别,品牌,单价(元),销售数量,销售城市
P1000,运动户外,华为,755.33,51,杭州
P1001,电子产品,宜家,1901.92,7,南京
P1002,电子产品,安踏,1466.67,21,深圳
P1003,运动户外,无印良品,1201.33,73,上海
P1004,食品生鲜,欧莱雅,320.48,39,北京
P1005,服装鞋帽,小米,320.43,18,深圳
P1006,服装鞋帽,统一,125.59,4,成都
P1007,服装鞋帽,华为,1733.69,89,上海
P1008,运动户外,迪卡侬,1206.22,60,深圳
P1009,电子产品,欧莱雅,1419.06,14,上海
P1010,运动户外,统一,50.96,9,武汉
P1011,运动户外,宜家,1940.12,90,成都
P1012,美妆护肤,迪卡侬,1666.56,53,重庆
P1013,电子产品,耐克,432.55,2,杭州
P1014,美妆护肤,耐克,371.83,84,广州
P1015,家居用品,华为,374.97,92,杭州
P1016,电子产品,耐克,615.44,60,杭州
P1017,电子产品,迪卡侬,1054.27,71,深圳
P1018,电子产品,迪卡侬,869.57,44,成都
P1019,服装鞋帽,无印良品,589.55,8,上海
P1020,服装鞋帽,欧莱雅,1227.59,47,南京
P1021,美妆护肤,小米,287.59,35,广州
P1022,美妆护肤,安踏,591.37,78,西安
P1023,电子产品,康师傅,739.06,81,深圳
P1024,美妆护肤,耐克,917.58,36,广州
P1025,服装鞋帽,华为,1572.5,50,重庆
P1026,运动户外,耐克,407.35,4,武汉
P1027,运动户外,康师傅,1033.33,2,成都
P1028,运动户外,欧莱雅,1188.9,6,西安
P1029,美妆护肤,无印良品,102.44,54,深圳
