district,address,title,house_type,area,price,floor,build_time,district_id,update_time,view_num,extra_info,link
朝阳区,朝阳区91号院25号楼9单元98室,四室两厅 朝阳区优质房源,三室一厅,182.9,411.64,15层/共14层,2018年,1001,2025-12-02 21:48:37,845,近地铁,https://example.com/house/10000
顺义区,顺义区57号院6号楼5单元21室,两室一厅 顺义区优质房源,四室两厅,68.2,1042.01,33层/共17层,2019年,1007,2025-05-16 21:48:37,3265,学区房,https://example.com/house/10001
顺义区,顺义区2号院2号楼19单元2室,两室一厅 顺义区优质房源,两室两厅,192.4,962.29,7层/共10层,2007年,1007,2026-02-12 21:48:37,4564,学区房,https://example.com/house/10002
西城区,西城区84号院4号楼14单元69室,一室一厅 西城区优质房源,两室两厅,93.5,592.44,7层/共12层,1999年,1004,2025-12-02 21:48:37,4732,南北通透,https://example.com/house/10003
顺义区,顺义区68号院20号楼20单元62室,一室一厅 顺义区优质房源,两室一厅,104.6,828.87,30层/共28层,2004年,1007,2026-02-09 21:48:37,3795,学区房,https://example.com/house/10004
朝阳区,朝阳区99号院5号楼6单元66室,四室两厅 朝阳区优质房源,三室一厅,186.1,889.95,28层/共19层,2005年,1001,2025-07-10 21:48:37,1088,南北通透,https://example.com/house/10005
西城区,西城区78号院2号楼4单元96室,三室两厅 西城区优质房源,三室两厅,165.4,1415.55,33层/共29层,2006年,1004,2025-04-11 21:48:37,3225,学区房,https://example.com/house/10006
丰台区,丰台区29号院21号楼11单元79室,三室两厅 丰台区优质房源,两室两厅,140.1,410.58,25层/共19层,2002年,1003,2025-05-24 21:48:37,3621,学区房,https://example.com/house/10007
昌平区,昌平区2号院27号楼6单元77室,一室一厅 昌平区优质房源,四室两厅,134.2,1261.84,31层/共18层,2001年,1006,2025-05-25 21:48:37,206,电梯房,https://example.com/house/10008
朝阳区,朝阳区25号院14号楼16单元84室,三室一厅 朝阳区优质房源,四室两厅,106.0,1003.53,16层/共21层,1991年,1001,2025-03-19 21:48:37,202,近地铁,https://example.com/house/10009
朝阳区,朝阳区42号院8号楼2单元81室,三室两厅 朝阳区优质房源,四室两厅,188.0,1409.97,17层/共12层,1997年,1001,2025-06-10 21:48:37,4284,精装修,https://example.com/house/10010
东城区,东城区50号院1号楼15单元76室,一室一厅 东城区优质房源,两室两厅,119.2,323.43,7层/共16层,1991年,1005,2025-05-21 21:48:37,2920,带车位,https://example.com/house/10011
昌平区,昌平区75号院27号楼13单元39室,三室两厅 昌平区优质房源,两室一厅,149.7,1290.13,26层/共31层,2006年,1006,2026-01-02 21:48:37,2858,带车位,https://example.com/house/10012
朝阳区,朝阳区17号院14号楼5单元82室,三室两厅 朝阳区优质房源,两室一厅,118.1,1085.24,8层/共13层,1991年,1001,2025-07-12 21:48:37,3184,精装修,https://example.com/house/10013
海淀区,海淀区74号院17号楼3单元62室,两室一厅 海淀区优质房源,三室一厅,137.5,487.66,22层/共12层,2009年,1002,2026-02-10 21:48:37,2379,电梯房,https://example.com/house/10014
丰台区,丰台区38号院13号楼7单元84室,一室一厅 丰台区优质房源,四室两厅,166.9,244.45,29层/共18层,2006年,1003,2025-10-13 21:48:37,569,近地铁,https://example.com/house/10015
朝阳区,朝阳区49号院20号楼12单元70室,三室两厅 朝阳区优质房源,三室一厅,116.8,1116.43,31层/共16层,2016年,1001,2025-07-08 21:48:37,4719,精装修,https://example.com/house/10016
昌平区,昌平区21号院5号楼3单元66室,三室一厅 昌平区优质房源,四室两厅,83.4,219.82,6层/共22层,2013年,1006,2025-10-27 21:48:37,2338,电梯房,https://example.com/house/10017
昌平区,昌平区72号院27号楼16单元99室,两室一厅 昌平区优质房源,四室两厅,171.1,543.37,32层/共20层,2016年,1006,2026-01-02 21:48:37,1834,精装修,https://example.com/house/10018
丰台区,丰台区57号院27号楼17单元70室,两室两厅 丰台区优质房源,一室一厅,177.9,1023.01,4层/共15层,2006年,1003,2026-02-20 21:48:37,3590,精装修,https://example.com/house/10019
丰台区,丰台区16号院11号楼7单元98室,两室一厅 丰台区优质房源,两室一厅,82.6,379.71,18层/共28层,1990年,1003,2025-12-25 21:48:37,3347,精装修,https://example.com/house/10020
顺义区,顺义区13号院25号楼15单元92室,一室一厅 顺义区优质房源,一室一厅,100.7,1212.23,14层/共12层,2018年,1007,2025-08-02 21:48:37,2323,学区房,https://example.com/house/10021
海淀区,海淀区30号院22号楼16单元66室,三室两厅 海淀区优质房源,三室两厅,147.8,203.06,6层/共10层,1994年,1002,2025-06-09 21:48:37,2174,精装修,https://example.com/house/10022
海淀区,海淀区9号院2号楼10单元52室,三室一厅 海淀区优质房源,两室一厅,53.1,1336.7,23层/共33层,2013年,1002,2025-10-11 21:48:37,1191,近地铁,https://example.com/house/10023
西城区,西城区14号院20号楼14单元25室,三室一厅 西城区优质房源,两室两厅,140.3,466.99,30层/共18层,2008年,1004,2025-12-14 21:48:37,2142,南北通透,https://example.com/house/10024
丰台区,丰台区58号院12号楼18单元63室,一室一厅 丰台区优质房源,三室两厅,195.3,1254.55,7层/共14层,2016年,1003,2025-08-18 21:48:37,2251,南北通透,https://example.com/house/10025
顺义区,顺义区28号院2号楼8单元6室,四室两厅 顺义区优质房源,三室两厅,89.9,451.07,26层/共21层,2020年,1007,2025-09-07 21:48:37,1723,精装修,https://example.com/house/10026
顺义区,顺义区70号院30号楼20单元26室,两室两厅 顺义区优质房源,四室两厅,185.6,397.61,26层/共18层,1998年,1007,2025-03-20 21:48:37,3227,带车位,https://example.com/house/10027
海淀区,海淀区67号院9号楼14单元91室,两室两厅 海淀区优质房源,四室两厅,78.3,1105.4,4层/共17层,2017年,1002,2025-03-12 21:48:37,3070,近地铁,https://example.com/house/10028
海淀区,海淀区68号院23号楼13单元87室,两室两厅 海淀区优质房源,三室一厅,57.6,1287.38,27层/共16层,2020年,1002,2026-02-22 21:48:37,533,电梯房,https://example.com/house/10029
朝阳区,朝阳区93号院29号楼1单元95室,两室两厅 朝阳区优质房源,三室一厅,129.8,481.24,17层/共26层,2005年,1001,2025-07-13 21:48:37,1323,学区房,https://example.com/house/10030
顺义区,顺义区36号院17号楼14单元70室,三室两厅 顺义区优质房源,三室两厅,82.2,625.92,2层/共12层,2008年,1007,2025-03-29 21:48:37,272,学区房,https://example.com/house/10031
朝阳区,朝阳区93号院10号楼12单元53室,四室两厅 朝阳区优质房源,三室两厅,136.9,650.97,21层/共12层,1998年,1001,2025-04-09 21:48:37,3612,电梯房,https://example.com/house/10032
顺义区,顺义区38号院29号楼3单元81室,三室一厅 顺义区优质房源,三室一厅,82.1,611.86,1层/共27层,1993年,1007,2025-12-25 21:48:37,1542,学区房,https://example.com/house/10033
顺义区,顺义区52号院1号楼11单元5室,四室两厅 顺义区优质房源,三室一厅,188.6,1166.45,29层/共29层,1996年,1007,2026-02-05 21:48:37,1155,近地铁,https://example.com/house/10034
东城区,东城区48号院18号楼11单元17室,四室两厅 东城区优质房源,三室两厅,178.9,1489.23,29层/共12层,2001年,1005,2025-10-19 21:48:37,4648,近地铁,https://example.com/house/10035
丰台区,丰台区54号院2号楼7单元39室,两室一厅 丰台区优质房源,两室两厅,55.6,1320.21,23层/共12层,2007年,1003,2026-01-07 21:48:37,133,带车位,https://example.com/house/10036
东城区,东城区38号院2号楼1单元60室,三室一厅 东城区优质房源,四室两厅,74.6,1485.24,33层/共18层,2010年,1005,2025-05-11 21:48:37,370,电梯房,https://example.com/house/10037
西城区,西城区8号院12号楼15单元63室,四室两厅 西城区优质房源,一室一厅,146.2,1211.21,22层/共18层,1990年,1004,2025-08-07 21:48:37,547,电梯房,https://example.com/house/10038
