col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
655,760,229,105,914,605,?,239,28,734,559,460
829,778,715,285,981,?,100,353,?,471,997,81
850,907,592,?,234,82,?,285,855,380,687,960
74,176,251,389,948,571,333,?,?,324,68,966
736,672,906,470,143,575,765,920,371,142,94,?
643,697,66,611,542,567,12,118,550,788,115,162
977,737,513,520,892,862,624,383,553,945,1,?
952,852,?,900,?,498,779,?,487,170,894,988
553,707,320,688,449,463,?,22,236,?,?,70
881,527,686,553,958,591,804,417,100,363,479,56
662,413,820,255,550,433,474,?,828,?,668,?
96,870,417,219,?,?,400,803,293,981,803,736
195,?,754,766,52,515,544,984,872,?,883,123
584,?,84,598,324,210,322,?,661,324,?,470
577,76,519,956,71,379,449,721,827,9,568,?
900,119,761,279,216,209,874,501,930,95,850,4
134,269,453,438,?,905,153,855,?,?,374,816
41,216,683,799,896,636,948,886,820,903,184,341
422,885,255,807,392,880,205,472,841,234,676,337
72,286,522,864,?,899,183,?,611,747,447,?
922,?,?,948,704,760,202,72,943,322,128,308
683,413,568,431,389,925,583,562,312,441,622,477
692,485,983,174,291,649,96,770,318,?,48,487
787,425,590,714,410,672,915,789,798,181,713,52
940,468,476,573,973,454,737,437,562,163,487,770
653,797,642,?,293,344,?,155,711,?,418,478
212,399,599,21,784,?,361,400,977,552,560,920
225,?,345,818,170,942,638,929,578,86,139,?
389,466,780,285,852,?,20,54,359,71,?,32
205,637,130,118,224,263,172,987,118,168,111,952
694,385,733,607,643,714,871,?,580,356,678,519
13,843,444,651,471,446,535,277,942,496,846,275
252,89,462,476,685,30,333,218,265,902,902,11
196,738,569,708,729,?,302,709,680,485,353,764
361,278,237,198,761,781,197,496,604,538,103,304
184,726,?,56,715,654,?,13,481,349,53,883
842,504,645,156,577,88,122,427,810,795,462,305
440,?,984,971,641,?,246,77,419,609,34,724
881,704,271,641,824,436,231,931,?,170,610,583
450,706,413,513,?,41,753,?,235,857,602,784
276,782,482,453,186,447,504,482,342,108,338,508
968,779,466,259,994,886,2,556,56,371,511,?
274,950,902,?,646,246,319,566,231,?,?,?
956,522,426,484,565,196,521,140,283,875,957,274
290,858,676,153,496,566,387,330,715,393,795,326
723,391,680,668,508,130,605,103,?,933,?,892
159,801,347,408,873,691,390,642,778,?,71,701
233,445,779,894,171,?,333,301,?,544,699,?
625,635,510,147,654,262,921,923,560,453,602,986
257,310,394,110,586,303,?,850,?,886,763,933
509,925,819,822,652,257,739,698,?,643,317,35
750,932,766,206,553,375,936,169,845,991,765,?
987,773,881,691,991,571,810,271,466,767,599,654
111,?,906,336,227,651,932,665,?,39,?,241
139,380,761,554,761,907,102,631,975,707,455,242
102,377,661,408,992,869,94,658,?,806,129,?
784,601,891,793,923,284,149,554,?,?,16,808
?,?,760,117,488,371,112,227,45,931,534,659
63,868,703,730,76,330,68,640,562,391,544,518
102,118,667,565,221,910,348,409,98,321,384,704
69,88,99,382,?,980,338,421,682,434,?,295
361,520,673,868,866,118,588,440,998,637,659,624
850,30,720,944,7,147,?,759,?,544,430,162
739,965,87,160,?,84,678,622,280,?,?,695
499,?,405,?,309,786,262,?,765,133,721,573
826,407,44,471,883,440,727,?,22,176,633,707
91,109,604,81,318,227,?,?,523,795,745,661
242,263,617,778,182,644,773,594,947,659,640,995
155,481,311,?,?,473,59,?,885,93,520,595
811,43,830,193,488,?,106,858,?,662,254,450
625,382,397,347,54,663,?,695,259,673,618,?
680,359,672,402,726,318,659,?,720,757,935,662
521,372,974,971,197,141,303,104,553,905,678,785
612,167,710,829,739,421,737,455,771,460,245,829
926,377,585,473,797,541,166,821,894,657,381,106
529,292,165,928,851,970,837,358,?,515,396,384
327,860,344,?,940,713,778,460,?,263,154,745
434,296,?,430,638,114,512,17,589,148,2,247
192,88,?,539,806,?,895,651,383,17,70,751
107,753,?,560,659,798,713,187,65,967,301,811
43,318,835,?,663,366,49,340,819,911,451,396
192,510,817,?,?,617,185,?,336,314,735,707
?,891,630,282,811,77,416,821,164,147,695,?
242,376,973,620,461,381,79,543,322,256,27,512
936,269,721,627,939,205,?,177,456,830,866,684
67,298,872,727,654,371,125,812,810,370,378,?
906,317,735,539,420,76,325,461,530,900,565,187
133,933,852,157,166,727,971,917,81,651,?,311
96,173,595,675,924,863,43,?,972,591,216,427
32,643,658,495,827,305,?,451,476,?,883,752
354,134,528,327,126,254,52,394,429,887,834,592
195,511,479,316,93,518,247,?,289,904,689,?
111,904,375,?,53,200,?,517,564,639,?,100
814,572,774,617,?,40,342,532,621,144,628,403
758,608,849,502,307,18,?,427,816,894,28,272
802,593,?,492,645,794,152,?,971,?,322,423
421,627,894,?,142,575,679,386,178,546,363,889
659,271,197,286,231,305,722,722,492,957,739,125
557,405,978,150,295,81,453,766,207,278,713,112
601,52,544,?,424,?,790,988,952,669,900,667
988,293,930,668,548,871,936,428,181,38,407,191
986,297,10,618,344,657,506,138,480,?,167,664
?,346,582,198,877,416,528,411,190,489,?,393
772,338,741,268,710,684,315,703,917,789,121,964
630,981,157,621,719,483,822,224,697,895,539,721
940,64,925,587,169,533,697,598,921,?,136,468
573,827,23,?,224,47,?,62,71,?,419,139
747,431,913,891,387,700,896,670,122,551,131,229
?,306,737,545,236,355,194,743,33,430,959,17
69,35,689,50,46,240,773,58,297,939,327,792
329,898,677,424,63,606,934,696,?,353,688,538
427,308,773,247,308,148,?,423,571,398,209,81
868,549,?,387,?,75,780,688,491,929,980,217
986,765,491,713,210,246,795,478,368,369,510,823
481,328,380,47,227,17,958,738,157,236,854,564
702,782,990,758,173,361,738,189,556,?,35,77
?,7,863,70,10,467,633,957,495,?,565,18
282,?,833,441,932,?,153,635,835,815,383,471
714,701,83,879,?,389,?,10,85,445,340,879
917,44,923,909,?,77,288,578,184,?,213,771
841,79,578,855,694,340,758,706,513,?,448,78
788,610,793,650,462,365,385,697,?,634,253,85
390,650,399,110,966,369,105,192,571,?,92,96
804,?,424,87,573,249,174,174,309,?,446,307
79,967,641,632,110,7,341,390,338,441,881,?
329,712,322,408,299,649,590,334,837,?,578,?
787,976,966,449,852,839,815,512,311,?,434,76
613,411,946,709,38,369,832,654,112,674,171,46
661,410,340,441,101,523,572,590,384,791,708,354
495,426,88,964,357,467,534,?,740,?,46,?
352,694,953,250,566,574,474,415,191,443,756,203
440,722,286,829,592,893,375,?,687,541,321,626
117,866,177,723,941,87,?,?,383,524,?,393
499,711,954,569,296,323,?,368,?,835,576,507
504,861,172,32,226,282,296,469,792,563,?,794
376,?,737,224,105,670,305,34,357,90,121,243
756,360,625,170,804,212,584,288,173,721,587,879
922,98,769,?,284,130,136,729,254,693,146,276
385,649,788,528,712,378,500,3,868,749,651,367
815,224,845,275,291,592,873,352,?,102,857,128
162,1,439,706,904,163,898,671,85,926,54,313
774,672,?,?,608,697,9,?,881,136,235,749
106,903,392,772,657,?,?,666,360,644,942,704
223,103,127,394,440,144,?,567,739,798,28,675
211,522,402,56,813,507,247,?,911,370,136,860
375,177,978,?,?,?,62,408,644,786,719,656
631,86,524,998,550,601,855,?,716,977,60,947
465,57,760,180,725,12,976,530,739,?,800,751
790,344,279,270,591,509,?,880,377,?,588,119
?,880,?,373,154,984,567,732,430,255,738,?
382,690,184,529,977,899,290,319,567,378,578,758
