date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2025-01-01,23.75,25.03,21.03,23.41,604263,0.67,-0.02,23.6,22.44,21.87,512296.92,402521.5,411904.94,2.66
2024-12-31,29.51,29.68,29.03,28.95,500126,0.97,-2.51,21.14,22.86,21.58,512132.02,511951.14,520759.09,1.59
2024-12-30,27.32,27.64,25.05,26.97,552329,0.05,-1.68,24.98,21.09,21.28,520697.53,505479.92,537317.98,1.03
2024-12-29,25.99,27.79,28.26,25.81,527632,-0.66,1.1,24.87,21.65,20.39,535293.59,543870.72,422897.53,2.48
2024-12-28,21.56,22.77,23.2,21.32,696382,-0.46,-2.54,23.25,20.49,22.66,560997.8,578051.61,476767.78,2.67
2024-12-27,21.56,21.58,28.96,20.64,609945,-0.96,2.11,21.0,20.72,21.35,453964.14,415881.32,491247.3,2.48
2024-12-26,20.58,20.78,23.89,20.17,555176,0.83,-0.03,23.4,22.72,20.58,565009.88,546299.3,473810.6,1.29
2024-12-25,28.66,29.99,20.11,27.93,675399,-0.76,-0.12,20.36,20.73,21.1,499651.14,437482.39,424205.0,2.51
2024-12-24,26.01,26.02,29.05,25.0,699976,0.15,0.55,20.15,22.1,21.24,415411.66,571635.41,483789.56,2.54
2024-12-23,27.08,27.4,20.91,25.7,634869,-0.45,1.95,21.29,22.84,22.48,411710.19,563812.7,550235.61,2.32
2024-12-22,20.21,21.31,23.19,20.13,678954,0.11,-0.91,22.31,20.43,22.2,466847.66,508158.75,414201.53,2.53
2024-12-21,29.7,31.08,29.5,28.1,644790,0.3,1.07,24.34,22.27,22.31,556979.4,542048.56,416036.0,2.69
2024-12-20,28.32,29.62,29.51,27.06,534560,0.66,0.39,23.64,21.03,20.03,541536.19,462870.02,470954.26,2.23
2024-12-19,22.12,22.57,25.73,21.96,576589,-0.59,-1.4,23.71,23.85,21.25,557722.99,494233.58,588345.14,1.18
2024-12-18,21.82,23.24,26.32,20.07,522116,-0.98,2.27,22.13,21.93,21.44,503453.81,564327.38,533714.53,1.98
2024-12-17,21.83,22.3,24.48,19.99,667316,-0.73,1.78,21.73,23.22,20.06,488039.8,491853.04,535733.99,1.16
2024-12-16,23.04,23.69,22.93,22.92,632717,0.8,0.95,21.86,22.2,20.78,429490.51,471559.65,472384.0,1.82
2024-12-15,25.25,26.74,23.29,24.7,678595,0.75,2.1,24.94,20.17,22.28,465638.55,498842.49,518732.16,1.81
2024-12-14,24.32,25.62,26.73,22.71,624085,0.19,2.2,20.2,22.53,20.41,486803.87,565649.85,402026.24,1.13
2024-12-13,22.91,24.61,27.52,21.41,617718,0.2,1.25,24.34,23.81,21.61,417720.09,467041.61,527219.21,1.7
2024-12-12,26.12,27.44,27.92,25.75,519256,0.33,2.02,22.89,22.41,20.65,444122.39,434752.32,582657.39,1.22
2024-12-11,21.39,22.53,27.9,20.97,600158,-0.65,1.18,22.19,23.28,20.04,519645.06,542402.8,522514.69,2.62
2024-12-10,22.92,23.11,20.91,22.18,684245,0.83,1.08,23.63,23.54,20.72,547132.62,565195.64,574739.72,2.9
2024-12-09,23.66,24.4,24.94,22.69,668502,-0.16,0.71,22.43,20.91,22.93,599669.5,420127.5,544794.61,1.14
2024-12-08,24.56,25.09,20.58,23.32,670354,-0.23,1.52,24.37,20.85,22.4,586622.67,447974.82,424111.68,2.91
2024-12-07,27.85,28.34,25.5,27.11,619719,0.04,-2.05,24.5,22.44,22.88,528513.04,428394.4,580490.66,2.05
2024-12-06,22.0,23.95,24.42,21.07,694446,-0.91,2.29,22.11,21.64,21.46,484249.61,469588.28,413288.77,1.6
2024-12-05,25.14,25.93,28.88,23.65,568244,-0.67,2.23,21.38,23.36,20.33,527235.47,490070.2,506793.49,1.15
2024-12-04,25.92,27.7,23.51,25.85,642766,0.48,-2.82,22.96,23.6,21.64,557130.32,549765.27,428427.42,2.0
2024-12-03,20.46,21.72,21.17,19.96,556264,-0.83,1.95,24.56,21.41,21.36,423667.24,530229.52,402341.32,2.59
2024-12-02,26.08,27.67,21.43,24.65,557545,0.21,-2.23,21.05,20.95,22.53,481980.98,524185.71,484406.85,2.41
2024-12-01,21.71,22.72,27.62,19.92,539224,-0.51,-0.99,23.11,23.12,20.29,567960.46,470474.99,459008.14,1.1
2024-11-30,20.65,21.8,26.18,19.63,597945,-0.22,1.46,23.16,21.1,21.46,476766.59,568289.51,497200.1,1.15
2024-11-29,29.49,30.48,21.01,28.43,513224,-0.42,-2.04,23.67,23.29,20.45,514374.45,494257.43,515439.98,1.81
2024-11-28,29.66,30.05,20.84,29.45,540738,-0.29,1.91,20.66,21.69,20.97,517553.87,595820.99,408747.81,1.59
2024-11-27,28.08,29.52,27.01,27.19,656222,0.44,1.99,23.58,22.67,22.21,436895.25,526828.43,424600.66,1.46
2024-11-26,23.05,23.61,20.73,21.98,563731,-0.41,0.04,24.55,20.38,21.43,472447.09,425252.95,511728.48,1.56
2024-11-25,20.98,21.03,28.22,20.5,680760,0.13,-2.96,20.9,22.5,21.13,466902.26,535235.51,468633.47,2.61
