store_id,city,channel,gender_group,age_group,wkd_ind,product,customer,revenue,order,quant,unit_cost
93810,上海,网购,女,青年,周末,运动户外,53,21911.43,44,70,133.53
13905,上海,网购,男,青年,周末,美妆护肤,102,76258.21,92,167,194.46
68878,西安,自提,男,中年,周末,运动户外,217,28952.88,88,72,236.11
54118,上海,网购,女,青年,周间,美妆护肤,136,8172.57,12,24,114.91
59615,上海,门店购买,女,中年,周间,美妆护肤,99,2555.92,91,18,52.31
47930,上海,网购,男,青年,周间,运动户外,428,28611.88,94,42,247.19
44993,上海,门店购买,男,青年,周末,服装鞋帽,237,34691.99,98,70,243.84
83000,深圳,门店购买,女,中年,周末,服装鞋帽,421,2733.38,9,11,79.48
84341,成都,网购,女,青年,周间,服装鞋帽,136,12572.65,36,32,181.4
86622,重庆,门店购买,女,青年,周末,美妆护肤,253,2133.32,24,4,184.45
30969,重庆,门店购买,男,青年,周间,美妆护肤,129,894.44,3,2,206.21
44973,成都,网购,女,青年,周间,电子产品,489,1185238.64,185,369,1445.98
33416,南京,网购,女,中年,周末,服装鞋帽,192,33632.89,42,70,277.1
10074,西安,自提,女,青年,周间,食品生鲜,123,576.56,8,8,42.09
21226,武汉,网购,男,青年,周间,美妆护肤,85,36636.21,34,68,230.02
37760,南京,门店购买,男,中年,周间,运动户外,333,154753.31,96,113,596.34
42493,深圳,网购,女,青年,周末,美妆护肤,113,919.53,1,2,146.05
18834,北京,自提,男,青年,周间,运动户外,249,26040.38,55,70,216.01
84847,西安,自提,男,中年,周间,服装鞋帽,49,2871.46,7,11,111.48
71213,北京,门店购买,男,青年,周间,电子产品,128,124646.44,50,25,1705.44
34050,杭州,自提,男,中年,周末,家居日用,414,1968.6,141,51,23.15
11934,上海,网购,男,青年,周间,服装鞋帽,443,2386.36,103,16,44.84
61173,杭州,自提,女,青年,周间,服装鞋帽,98,13632.02,38,28,230.65
81066,北京,门店购买,女,青年,周间,美妆护肤,471,11931.48,136,81,66.63
34356,上海,门店购买,男,青年,周末,家居日用,62,14460.31,61,114,60.08
15209,西安,网购,女,青年,周间,食品生鲜,105,2471.68,86,81,12.78
98039,杭州,自提,女,中年,周末,电子产品,235,2304667.18,160,289,2567.66
37938,南京,自提,男,中年,周末,服装鞋帽,190,10825.54,73,41,122.24
49651,西安,门店购买,男,青年,周间,运动户外,54,3150.52,9,9,116.26
82512,广州,自提,女,青年,周间,服装鞋帽,352,39748.97,163,136,109.7
16658,上海,门店购买,女,中年,周末,电子产品,171,86709.62,34,34,1103.13
66057,南京,网购,男,青年,周末,美妆护肤,19,7319.03,12,19,165.23
15482,杭州,自提,男,中年,周末,运动户外,128,27925.48,27,23,686.29
63264,西安,门店购买,男,中年,周末,服装鞋帽,500,4791.74,46,53,47.1
53540,重庆,门店购买,男,青年,周末,家居日用,447,1085.02,10,16,36.96
70332,成都,自提,男,青年,周末,家居日用,169,3498.68,72,18,74.59
94080,南京,自提,女,中年,周末,食品生鲜,92,1189.1,75,68,8.38
55309,成都,自提,男,青年,周末,食品生鲜,23,423.08,23,28,8.73
80575,深圳,自提,女,青年,周间,美妆护肤,161,14173.33,32,39,181.73
52753,重庆,门店购买,女,青年,周末,家居日用,341,27349.82,98,174,55.36
84593,杭州,自提,男,青年,周末,家居日用,403,17992.92,149,165,47.18
38010,南京,自提,男,青年,周间,美妆护肤,340,89323.14,163,318,153.23
40784,杭州,网购,男,青年,周末,服装鞋帽,244,10308.44,157,38,153.5
85454,深圳,门店购买,女,青年,周末,服装鞋帽,336,1364.75,177,3,253.9
23970,重庆,网购,男,中年,周间,电子产品,286,142944.06,64,32,2414.08
97500,南京,门店购买,女,老年,周间,美妆护肤,418,84132.41,185,259,185.82
68446,广州,门店购买,女,青年,周末,运动户外,142,252678.47,134,249,388.03
20155,杭州,网购,女,青年,周末,服装鞋帽,78,9286.47,30,25,190.16
18418,重庆,自提,女,青年,周间,电子产品,106,369072.51,54,50,3507.84
12560,西安,自提,女,青年,周间,食品生鲜,386,5398.31,100,108,26.01
89069,深圳,自提,男,青年,周间,电子产品,200,1017280.63,87,172,2491.72
31632,武汉,网购,男,中年,周末,电子产品,330,249708.68,110,35,2529.33
44099,重庆,自提,男,青年,周间,家居日用,143,11175.77,108,65,75.84
80702,北京,自提,男,青年,周末,电子产品,487,361659.35,64,52,3382.91
41266,广州,自提,男,青年,周末,家居日用,359,5559.79,66,95,28.22
25012,广州,自提,男,青年,周间,美妆护肤,347,58334.4,97,102,205.6
87607,深圳,网购,女,中年,周末,美妆护肤,401,4508.61,11,12,187.28
19038,南京,门店购买,女,青年,周间,家居日用,55,3313.19,28,24,75.74
30052,重庆,网购,女,青年,周间,家居日用,224,22990.68,188,304,42.01
21359,杭州,自提,男,中年,周间,食品生鲜,15,295.02,8,11,9.75
43862,成都,自提,女,青年,周末,电子产品,124,490954.38,93,105,2466.22
72402,武汉,自提,男,青年,周末,家居日用,355,5714.93,63,40,58.68
82544,南京,自提,女,老年,周间,食品生鲜,360,2445.13,117,70,12.89
35242,成都,网购,男,青年,周间,食品生鲜,371,14469.89,151,269,31.96
35443,杭州,网购,女,青年,周末,运动户外,274,9330.13,33,36,81.99
48290,广州,门店购买,女,青年,周末,美妆护肤,146,40765.28,121,123,117.76
16734,杭州,自提,男,中年,周间,家居日用,38,390.56,37,7,30.32
49824,上海,网购,男,青年,周间,美妆护肤,306,57110.62,159,116,203.88
68028,杭州,门店购买,女,青年,周末,美妆护肤,492,29317.01,190,51,208.29
37659,杭州,门店购买,男,青年,周末,美妆护肤,39,316.09,11,1,160.2
71592,杭州,网购,男,青年,周间,运动户外,441,20778.41,117,19,631.2
91927,西安,门店购买,男,青年,周末,运动户外,77,5563.82,35,19,102.43
50319,西安,门店购买,女,青年,周间,运动户外,156,59542.97,104,70,381.19
20543,西安,网购,女,中年,周间,电子产品,47,152542.08,15,22,3276.6
12719,杭州,门店购买,男,中年,周末,家居日用,266,42161.25,167,227,65.83
86720,重庆,门店购买,女,老年,周间,食品生鲜,210,4860.37,86,83,32.64
53228,重庆,门店购买,女,青年,周间,美妆护肤,19,812.9,15,3,107.57
62976,南京,网购,女,青年,周末,美妆护肤,186,107570.23,160,256,221.86
36680,杭州,门店购买,男,中年,周间,运动户外,249,5860.36,32,4,707.14
41365,广州,自提,男,青年,周末,服装鞋帽,431,14332.97,30,30,236.17
30181,武汉,门店购买,女,青年,周间,家居日用,428,8643.54,124,121,33.24
60277,深圳,门店购买,男,中年,周间,家居日用,175,23220.6,130,137,65.23
49132,西安,门店购买,女,中年,周间,美妆护肤,248,33103.15,89,86,178.23
69682,成都,网购,男,青年,周末,家居日用,23,2398.22,11,16,81.45
60604,广州,自提,男,青年,周间,电子产品,448,127885.73,113,26,2149.85
28894,重庆,门店购买,男,青年,周间,食品生鲜,320,11676.83,178,204,31.8
98389,南京,自提,女,青年,周间,美妆护肤,19,1691.83,3,4,243.74
39817,上海,自提,男,中年,周末,家居日用,86,151.27,39,4,20.38
48452,成都,自提,女,青年,周间,美妆护肤,350,4488.73,47,22,98.52
60140,西安,门店购买,男,青年,周末,服装鞋帽,237,35765.57,164,131,136.52
70981,杭州,门店购买,男,青年,周间,美妆护肤,154,42488.35,109,177,132.89
36111,重庆,自提,男,青年,周间,美妆护肤,152,3536.48,76,6,293.21
45976,北京,门店购买,男,中年,周间,食品生鲜,398,5235.8,59,78,24.55
34920,西安,自提,男,青年,周末,食品生鲜,404,474.05,113,9,27.37
21813,杭州,自提,女,青年,周末,美妆护肤,449,49077.16,94,136,137.76
31567,杭州,自提,女,中年,周间,电子产品,240,64019.85,20,10,2353.91
98647,重庆,门店购买,女,青年,周间,电子产品,136,229852.6,32,59,2044.14
44362,西安,自提,女,青年,周末,家居日用,13,1543.7,10,18,41.42
94889,上海,门店购买,女,中年,周间,运动户外,210,2330.56,30,9,80.58
74569,上海,网购,男,中年,周末,家居日用,233,32919.89,95,172,97.41
80804,重庆,门店购买,男,中年,周末,家居日用,316,2560.45,105,72,14.62
68115,武汉,网购,女,青年,周间,美妆护肤,462,27427.78,166,184,57.06
26011,武汉,网购,男,青年,周末,电子产品,403,499422.16,86,63,4249.79
36896,上海,门店购买,男,青年,周末,食品生鲜,397,33.02,38,1,19.65
27038,南京,自提,男,青年,周末,服装鞋帽,8,1309.27,6,4,99.74
44782,北京,网购,女,青年,周末,家居日用,230,21808.58,200,186,39.01
76039,深圳,门店购买,男,中年,周间,家居日用,330,399.52,8,2,110.7
65872,上海,自提,女,青年,周末,食品生鲜,312,208.82,38,9,11.31
86724,南京,门店购买,女,青年,周间,家居日用,259,10356.13,155,221,23.92
95814,南京,门店购买,男,青年,周末,家居日用,174,10373.98,117,103,33.09
65936,成都,门店购买,女,青年,周末,运动户外,473,5734.66,122,18,103.74
66606,上海,门店购买,女,中年,周末,美妆护肤,490,80130.26,144,288,93.67
56346,重庆,门店购买,男,老年,周间,食品生鲜,54,1873.82,37,65,14.33
39392,上海,自提,女,青年,周间,美妆护肤,116,57824.19,104,110,311.39
91490,西安,门店购买,男,青年,周间,电子产品,93,299599.76,35,40,3035.75
33777,广州,门店购买,女,青年,周末,电子产品,383,437924.26,136,111,1720.5
30631,成都,自提,女,中年,周末,电子产品,80,72938.25,21,40,591.66
68079,重庆,自提,女,青年,周末,美妆护肤,59,4850.36,23,28,87.21
87743,武汉,门店购买,女,青年,周间,美妆护肤,29,1058.73,1,4,96.18
27987,杭州,自提,女,青年,周间,运动户外,221,11802.58,45,17,354.84
75570,南京,门店购买,女,青年,周末,家居日用,10,529.68,8,3,83.46
85156,重庆,门店购买,女,青年,周间,电子产品,495,295178.14,84,44,3256.6
57428,上海,自提,男,青年,周间,美妆护肤,41,9559.73,26,20,175.17
32037,上海,门店购买,男,青年,周末,食品生鲜,180,2307.17,166,76,10.44
35856,广州,门店购买,男,中年,周末,服装鞋帽,488,92584.39,198,322,151.34
85952,武汉,门店购买,女,中年,周间,服装鞋帽,226,8237.55,18,31,103.86
46002,西安,网购,女,青年,周间,家居日用,232,185.37,10,2,35.79
94497,上海,门店购买,女,青年,周末,家居日用,466,8211.98,147,97,37.48
29773,北京,自提,男,中年,周间,运动户外,44,5770.35,33,23,128.52
67595,南京,门店购买,男,青年,周间,家居日用,210,25301.79,199,174,45.91
92691,成都,网购,女,青年,周间,食品生鲜,130,872.8,39,43,10.13
55851,杭州,门店购买,女,青年,周末,食品生鲜,287,10965.57,97,165,36.15
97833,南京,网购,女,青年,周末,食品生鲜,159,1041.95,47,28,19.72
35166,深圳,网购,男,青年,周末,美妆护肤,395,37292.08,139,270,55.39
91006,广州,门店购买,女,青年,周末,运动户外,395,96690.72,160,85,356.17
57749,深圳,自提,女,中年,周间,服装鞋帽,274,19422.02,62,40,259.92
35430,成都,门店购买,女,青年,周间,家居日用,258,41767.1,136,215,105.89
