year,country,GDP
1960,美国,543300000000
1960,英国,73233967692
1960,法国,62225478000
1960,中国,59716467625
1960,日本,44307342950
1960,加拿大,40461721692
1960,意大利,40385288344
1961,美国,563300000000
1961,英国,76233967692
1961,法国,65225478000
1961,中国,62716467625
1961,日本,47307342950
1961,加拿大,43461721692
1961,意大利,43385288344
1962,美国,583300000000
1962,英国,79233967692
1962,法国,68225478000
1962,中国,65716467625
1962,日本,50307342950
1962,加拿大,46461721692
1962,意大利,46385288344
1963,美国,603300000000
1963,英国,82233967692
1963,法国,71225478000
1963,中国,68716467625
1963,日本,53307342950
1963,加拿大,49461721692
1963,意大利,49385288344
1964,美国,623300000000
1964,英国,85233967692
1964,法国,74225478000
1964,中国,71716467625
1964,日本,56307342950
1964,加拿大,52461721692
1964,意大利,52385288344
1965,美国,643300000000
1965,英国,88233967692
1965,法国,77225478000
1965,中国,74716467625
1965,日本,59307342950
1965,加拿大,55461721692
1965,意大利,55385288344
1966,美国,663300000000
1966,英国,91233967692
1966,法国,80225478000
1966,中国,77716467625
1966,日本,62307342950
1966,加拿大,58461721692
1966,意大利,58385288344
1967,美国,683300000000
1967,英国,94233967692
1967,法国,83225478000
1967,中国,80716467625
1967,日本,65307342950
1967,加拿大,61461721692
1967,意大利,61385288344
1968,美国,703300000000
1968,英国,97233967692
1968,法国,86225478000
1968,中国,83716467625
1968,日本,68307342950
1968,加拿大,64461721692
1968,意大利,64385288344
1969,美国,723300000000
1969,英国,100233967692
1969,法国,89225478000
1969,中国,86716467625
1969,日本,71307342950
1969,加拿大,67461721692
1969,意大利,67385288344
1970,美国,1073300000000
1970,英国,123233967692
1970,法国,142225478000
1970,中国,91716467625
1970,日本,212307342950
1970,加拿大,85461721692
1970,意大利,103385288344
1971,美国,1163300000000
1971,英国,132233967692
1971,法国,151225478000
1971,中国,96716467625
1971,日本,231307342950
1971,加拿大,92461721692
1971,意大利,112385288344
1972,美国,1283300000000
1972,英国,141233967692
1972,法国,160225478000
1972,中国,112716467625
1972,日本,290307342950
1972,加拿大,101461721692
1972,意大利,121385288344
1973,美国,1423300000000
1973,英国,150233967692
1973,法国,169225478000
1973,中国,137716467625
1973,日本,423307342950
1973,加拿大,110461721692
1973,意大利,130385288344
1974,美国,1543300000000
1974,英国,159233967692
1974,法国,178225478000
1974,中国,142716467625
1974,日本,471307342950
1974,加拿大,119461721692
1974,意大利,139385288344
1975,美国,1683300000000
1975,英国,168233967692
1975,法国,187225478000
1975,中国,163716467625
1975,日本,507307342950
1975,加拿大,128461721692
1975,意大利,148385288344
1976,美国,1823300000000
1976,英国,177233967692
1976,法国,196225478000
1976,中国,153716467625
1976,日本,567307342950
1976,加拿大,137461721692
1976,意大利,157385288344
1977,美国,2023300000000
1977,英国,186233967692
1977,法国,205225478000
1977,中国,175716467625
1977,日本,691307342950
1977,加拿大,146461721692
1977,意大利,166385288344
1978,美国,2293300000000
1978,英国,195233967692
1978,法国,214225478000
1978,中国,149716467625
1978,日本,996307342950
1978,加拿大,155461721692
1978,意大利,175385288344
1979,美国,2563300000000
1979,英国,204233967692
1979,法国,223225478000
1979,中国,177716467625
1979,日本,1067307342950
1979,加拿大,164461721692
1979,意大利,184385288344
1980,美国,2863300000000
1980,英国,213233967692
1980,法国,232225478000
1980,中国,191716467625
1980,日本,1105307342950
1980,加拿大,173461721692
1980,意大利,193385288344
1981,美国,3213300000000
1981,英国,222233967692
1981,法国,241225478000
1981,中国,196716467625
1981,日本,1218307342950
1981,加拿大,182461721692
1981,意大利,202385288344
1982,美国,3343300000000
1982,英国,231233967692
1982,法国,250225478000
1982,中国,205716467625
1982,日本,1189307342950
1982,加拿大,191461721692
1982,意大利,211385288344
1983,美国,3633300000000
1983,英国,240233967692
1983,法国,259225478000
1983,中国,230716467625
1983,日本,1234307342950
1983,加拿大,200461721692
1983,意大利,220385288344
1984,美国,4043300000000
1984,英国,249233967692
1984,法国,268225478000
1984,中国,259716467625
1984,日本,1318307342950
1984,加拿大,209461721692
1984,意大利,229385288344
1985,美国,4343300000000
1985,英国,258233967692
1985,法国,277225478000
1985,中国,309716467625
1985,日本,1398307342950
1985,加拿大,218461721692
1985,意大利,238385288344
1986,美国,4593300000000
1986,英国,267233967692
1986,法国,286225478000
1986,中国,299716467625
1986,日本,2090307342950
1986,加拿大,227461721692
1986,意大利,247385288344
1987,美国,4873300000000
1987,英国,276233967692
1987,法国,295225478000
